PassengerId,Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,CabinNum,TravelingTogether,CabinNumWeighted,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,HomePlanet_nan,CryoSleep_False,CryoSleep_True,CryoSleep_nan,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,Destination_nan,VIP_False,VIP_True,VIP_nan,PassengerGroupId_01,PassengerGroupId_02,PassengerGroupId_03,PassengerGroupId_04,PassengerGroupId_05,PassengerGroupId_06,PassengerGroupId_07,PassengerGroupId_08,PassengerGroupId_nan,CabinDeck_A,CabinDeck_B,CabinDeck_C,CabinDeck_D,CabinDeck_E,CabinDeck_F,CabinDeck_G,CabinDeck_T,CabinDeck_nan,CabinSide_P,CabinSide_S,CabinSide_nan
0001_01,0.718426627543209,-0.34773635631978517,-0.2884950809351349,-0.299727551780996,-0.27595912386282995,-0.2626981201265033,0,-1.1906652850312973,-0.6486429676662502,-0.3382023767759537,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0002_01,-0.33518759111619045,-0.1776886749691424,-0.28275022274838263,-0.25688632628139857,0.2151685981695627,-0.22502173953062019,1,-1.1906652850312973,-0.6486429676662502,-0.33819913226437454,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0003_01,2.053004637845115,-0.2806533260621921,1.9941285719344244,-0.299727551780996,5.7311859643840135,-0.2207403326447244,0,-1.1906652850312973,-0.014568556252980229,-0.33816668714858283,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0003_02,0.2969809400794492,-0.34773635631978517,0.5304663694652132,0.3360362346330301,2.7021177188436094,-0.0974358143309251,0,-1.1906652850312973,-0.014568556252980229,-0.33816668714858283,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0004_01,-0.8971151744012035,0.12496499642557955,-0.24381285059372848,-0.040966549763427444,0.22948197440365795,-0.26098555737214496,1,-1.1886926848217547,-0.6486429676662502,-0.3381990962142459,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0005_01,1.069631367096342,-0.34773635631978517,0.019812308420569042,-0.299727551780996,-0.015634593605222905,-0.2626981201265033,1,-1.1906652850312973,-0.6486429676662502,-0.33819913226437454,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0006_01,-0.19470569529493717,-0.28221339653329897,0.6938756689994994,-0.29458660472104437,-0.27595912386282995,-0.2626981201265033,1,-1.1867200846122123,-0.014568556252980229,-0.3381990601641172,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0006_02,-0.05422379947368392,-0.34773635631978517,-0.2884950809351349,-0.299727551780996,-0.27595912386282995,-4.867396098570462e-17,1,-1.1906652850312973,-0.014568556252980229,-0.33784223599066604,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0007_01,0.43746283590070245,-0.34773635631978517,0.2125842164649222,-0.2705955184412698,-0.0827285447025443,-0.2626981201265033,1,-1.1847474844026697,-0.6486429676662502,-0.33819902411398856,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0008_01,-1.0375970702224566,-0.34773635631978517,-0.2884950809351349,-0.299727551780996,-0.27595912386282995,-0.2626981201265033,1,-1.1886926848217547,0.6195058551602898,-0.33820234072582506,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0008_02,0.3672218879900758,-0.34773635631978517,-0.2884950809351349,0.0,-0.27595912386282995,-0.2626981201265033,1,-1.1886926848217547,0.6195058551602898,-0.33820234072582506,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0008_03,1.1398723150069687,-0.2868936079466194,4.368031638215714,0.7096117209895199,-0.17755466225342523,-0.15651922935628726,1,-1.1886926848217547,0.6195058551602898,-0.33820234072582506,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
